"State","name","n"
"AK","Alaska",2
"AL","Alabama",11
"AR","Arkansas",6
"AZ","Arizona",5
"CA","California",89
"CO","Colorado",16
"CT","Connecticut",10
"DC",NA,71
"DE","Delaware",6
"FL","Florida",23
"GA","Georgia",17
"GU",NA,1
"IA","Iowa",5
"IL","Illinois",38
"IN","Indiana",6
"KS","Kansas",6
"KY","Kentucky",22
"LA","Louisiana",12
"MA","Massachusetts",29
"MD","Maryland",33
"ME","Maine",5
"MI","Michigan",14
"MN","Minnesota",22
"MO","Missouri",8
"MS","Mississippi",10
"MT","Montana",5
"NC","North Carolina",39
"NE","Nebraska",3
"NH","New Hampshire",1
"NJ","New Jersey",33
"NM","New Mexico",3
"NV","Nevada",14
"NY","New York",63
"OH","Ohio",11
"OK","Oklahoma",8
"OR","Oregon",13
"PA","Pennsylvania",17
"PR","Puerto Rico",1
"SC","South Carolina",6
"SD","South Dakota",3
"TN","Tennessee",7
"TX","Texas",21
"UT","Utah",3
"VA","Virginia",75
"WA","Washington",16
"WI","Wisconsin",15
"WV","West Virginia",12
"WY","Wyoming",2
